"x"
"key"
"lead_time_hours"
"priority_Alta"
"priority_Baixa"
"priority_Urgente"
"issuetype_Dívida Técnica"
"issuetype_Legislação"
"issuetype_Melhoria"
"issuetype_Performance"
"issuetype_Tarefa"
"issuetype_Vulnerabilidade de Segurança"
"projectkey_FS247"
"projectkey_TS"
"projectkey_VOLSPB"
"category_ADMINISTRATIVA"
"category_DEFIC FUNCIONAL"
"category_LEGISLACAO"
"category_MANUAL"
"category_MELHORIAS"
"developer_al"
"developer_av"
"developer_cal"
"developer_dj"
"developer_et"
"developer_ev"
"developer_gea"
"developer_gr"
"developer_im"
"developer_jr"
"developer_lf"
"developer_lh"
"developer_lj"
"developer_ll"
"developer_ofe"
"developer_ra"
"developer_rp"
"developer_rr"
"developer_sca"
"developer_td"
"developer_um"
"developer_vp"
"developer_wj"
"tester_al"
"tester_ap"
"tester_as"
"tester_cc"
"tester_dro"
"tester_ev"
"tester_gr"
"tester_im"
"tester_is"
"tester_jr"
"tester_mo"
"tester_ra"
"tester_rMa"
"tester_rp"
"tester_rr"
"tester_td"
"tester_wj"
"customer_ANPACOB"
"customer_ARCL"
"customer_BP"
"customer_CBNB"
"customer_CMS"
"customer_COSO"
"customer_DBAN"
"customer_H6LOC"
"customer_IEIPTVSXN"
"customer_INCFOUSF"
"customer_LSELJ"
"customer_MOJP"
"customer_NAACOB"
"customer_NAOCB"
"customer_NCBA"
"customer_NGACOB"
"customer_OL"
"customer_RNTACOB"
"customer_ROSO"
"customer_RRME"
"customer_TAUASR-ME"
"customer_TMA"
